model,round,final_score,passed,A_score,B_score,C_score,D_score,A_gen,B_gen,C_gen,D_gen,A_parsimony,B_parsimony,C_parsimony,D_parsimony,A_ast,B_ast,C_ast,D_ast,A_ood2,B_ood2,C_ood2,D_ood2
gpt-oss-120b,1,0.5751,False,0.6574,0.6024,0.5716,0.4689,0.762,0.671,0.54,0.448,0.0,0.0,0.237,0.0,81,93,77,106,0.6692,0.5161,0.0,0.3617
gpt-oss-120b,1,0.5751,False,0.6574,0.6024,0.5716,0.4689,0.762,0.671,0.54,0.448,0.0,0.0,0.237,0.0,81,93,77,106,0.6692,0.5161,0.0,0.3617
gpt-oss-120b,1,0.5751,False,0.6574,0.6024,0.5716,0.4689,0.762,0.671,0.54,0.448,0.0,0.0,0.237,0.0,81,93,77,106,0.6692,0.5161,0.0,0.3617
gpt-oss-120b,1,0.5591,False,0.6574,0.5765,0.5652,0.4372,0.762,0.628,0.543,0.395,0.0,0.0,0.198,0.0,81,81,80,99,0.6692,0.497,0.0,0.0639
gpt-oss-120b,1,0.5894,False,0.6574,0.5765,0.5511,0.5725,0.762,0.628,0.408,0.514,0.0,0.0,0.533,0.32,81,81,34,64,0.6692,0.497,0.0,0.275
gpt-oss-120b,1,0.5985,False,0.6572,0.6029,0.664,0.4698,0.762,0.672,0.667,0.45,0.0,0.0,0.32,0.0,81,93,64,101,0.6684,0.5085,0.1798,0.3087
gpt-oss-120b,1,0.5989,False,0.6572,0.5368,0.7366,0.465,0.762,0.501,0.894,0.383,0.0,0.181,0.0,0.176,81,76,81,78,0.6684,0.0,0.9079,0.0
gpt-oss-120b,1,0.5989,False,0.6572,0.5368,0.7366,0.465,0.762,0.501,0.894,0.383,0.0,0.181,0.0,0.176,81,76,81,78,0.6684,0.0,0.9079,0.0
gpt-oss-120b,1,0.6234,False,0.6572,0.2205,0.7723,0.8436,0.762,0.034,0.862,0.949,0.0,0.0,0.275,0.372,81,82,78,60,0.6684,0.0,0.7905,0.9551
gpt-oss-120b,1,0.61,False,0.6572,0.5765,0.7366,0.4698,0.762,0.628,0.894,0.45,0.0,0.0,0.0,0.0,81,81,81,101,0.6684,0.49,0.9079,0.3087
gpt-oss-120b,1,0.6527,True,0.6572,0.5712,0.7366,0.6456,0.762,0.619,0.894,0.59,0.0,0.0,0.0,0.458,81,98,81,43,0.6684,0.4881,0.9079,0.1093
